Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source
2023-01-01 07:51:42,191.105.88.50,180.154.85.251,15217,24149,TCP,738,Control,DNS,"Ducimus ad repellat praesentium occaecati. Maiores ducimus itaque impedit.
Fuga dicta alias delectus aspernatur. Ducimus praesentium cumque nemo laborum. Iure exercitationem molestiae officiis sed.",IoC Detected,5.61,,Malware,Known Pattern B,Logged,High,Ryan Grover,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/531.17.3 (KHTML, like Gecko) Version/5.1 Safari/531.17.3",Segment C,"Ongole, Jharkhand",115.185.200.250,,Alert Data,Server
2022-10-05 04:08:21,170.3.178.254,208.95.251.138,37916,53131,ICMP,965,Data,FTP,Pariatur repellat iure. Fugiat non in tempore exercitationem culpa ex. Omnis accusantium blanditiis laborum aliquam molestias voluptates exercitationem.,,97.78,,DDoS,Known Pattern B,Ignored,Medium,Adira Kala,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; ar-LB) AppleWebKit/531.16.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6531.16.5",Segment A,"Lucknow, Manipur",,Log Data,,Server
2023-09-14 19:52:05,197.20.111.103,32.127.163.55,23041,8157,UDP,560,Data,FTP,Adipisci expedita excepturi. Rem laudantium voluptas dignissimos.,,8.93,,DDoS,Known Pattern A,Ignored,Low,Anya Dutt,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/57.0.883.0 Safari/534.0",Segment A,"Khora , Gujarat",209.205.201.178,Log Data,Alert Data,Firewall
2020-11-02 13:16:59,135.163.78.255,78.143.117.37,45576,21392,UDP,310,Control,HTTP,Repellendus fuga fugiat fuga esse asperiores. Ipsam perspiciatis velit. Corrupti hic explicabo esse id culpa deleniti.,,69.59,Alert Triggered,Malware,Known Pattern B,Logged,Low,Hansh Bhandari,Mozilla/5.0 (Windows NT 10.0; or-IN; rv:1.9.1.20) Gecko/9447-02-14 10:29:33 Firefox/3.6.3,Segment B,"Pimpri-Chinchwad, Chhattisgarh",,Log Data,,Firewall
2022-06-23 22:55:57,54.198.187.212,94.100.232.189,50038,26430,ICMP,655,Data,FTP,Mollitia occaecati voluptatum quasi voluptate illum quo. Tempore doloribus quos ratione. Veniam ea nemo quidem deleniti reiciendis delectus molestiae.,,19.73,Alert Triggered,Intrusion,Known Pattern B,Blocked,Medium,Riya Dugar,Opera/9.45.(X11; Linux x86_64; sid-ET) Presto/2.9.166 Version/11.00,Segment C,"Aizawl, Arunachal Pradesh",,,Alert Data,Server
2021-10-02 23:14:34,220.90.125.232,165.171.86.5,51361,11687,ICMP,1208,Control,FTP,Totam fugit facilis quas voluptates facere. Molestias deserunt perferendis accusamus ut. Accusantium asperiores iure libero.,,27.9,,DDoS,Known Pattern A,Logged,High,Kismat Bath,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/10.9l4234.0 Mobile/07M989 Safari/532.2",Segment C,"Rampur, Uttar Pradesh",,,,Server
2023-02-22 23:51:28,63.164.252.10,179.23.60.69,46150,56128,UDP,1469,Data,HTTP,Sed voluptate voluptate hic possimus autem. Quo sed nisi nam adipisci libero adipisci. Ullam sint accusamus animi.,IoC Detected,13.02,Alert Triggered,Malware,Known Pattern B,Logged,Medium,Veer Dani,Opera/9.43.(Windows 98; ru-RU) Presto/2.9.167 Version/10.00,Segment B,"Pondicherry, Odisha",31.107.148.122,,,Server
2022-05-03 21:34:51,161.85.79.118,158.248.104.253,56103,5237,ICMP,1363,Control,HTTP,"Quis dolore minus asperiores ex. Voluptate velit quam suscipit perspiciatis.
Assumenda fugit fugiat architecto ab tempore. Sit voluptate iure magnam. Libero qui ex distinctio quis tempora.",IoC Detected,76.79,,Intrusion,Known Pattern B,Logged,High,Sana Deshpande,"Mozilla/5.0 (Windows CE) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/61.0.841.0 Safari/535.0",Segment C,"Chandigarh, Tamil Nadu",,,,Server
2023-06-16 11:17:54,206.155.222.242,221.174.155.105,6549,58129,TCP,990,Data,DNS,Ratione fugit qui deleniti. Assumenda labore esse nostrum. Tenetur recusandae consequatur at voluptatibus.,IoC Detected,86.39,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Hunar Goyal,Opera/9.99.(X11; Linux i686; si-LK) Presto/2.9.163 Version/12.00,Segment A,"Ballia, Uttar Pradesh",,Log Data,Alert Data,Firewall
2020-04-08 21:27:24,217.204.156.115,5.48.32.74,7482,15603,UDP,524,Control,FTP,Temporibus ratione impedit cumque rerum eos. Nulla suscipit totam culpa deleniti. Dignissimos sapiente cum voluptate corrupti ullam quasi.,IoC Detected,3.72,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Raghav Grover,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/532.24.5 (KHTML, like Gecko) Version/4.1 Safari/532.24.5",Segment B,"Sultan Pur Majra, Chhattisgarh",160.195.211.78,Log Data,Alert Data,Server
